vor_id,ident,region,lonx,laty
1693,HIC,K5,-85.71616111,43.57485278
1694,HRK,K5,-87.81472778,42.76216944
1695,HXW,K5,-87.51113611,36.65930278
1696,HYK,K5,-84.47251667,37.96635
1697,HYR,K5,-91.44639444,46.01900833
1698,IIU,K5,-85.57743611,38.10346389
1699,IJX,K5,-90.23860556,39.77652222
1700,IKK,K5,-87.85016389,41.07437778
1701,IMT,K5,-88.11214167,45.81604444
1702,ISQ,K5,-86.17343611,45.97633611
1703,IWD,K5,-90.12585,46.53225556
1704,JFN,K5,-80.74811111,41.76011667
1705,JOT,K5,-88.31841111,41.54641667
1706,JVL,K5,-89.10525833,42.55800833
1707,JXN,K5,-84.45855,42.25923889
1708,LAN,K5,-84.69750833,42.71739444
1709,LCK,K5,-82.92883333,39.80819444
1710,LFD,K5,-84.76513333,42.06248889
1711,LJT,K5,-88.03728056,43.10977222
1712,LNR,K5,-90.13314722,43.29440278
1713,LOZ,K5,-84.110075,37.03315
1714,LSE,K5,-91.25599444,43.876125
1715,LWV,K5,-87.60382778,38.76986944
1716,MBL,K5,-86.25404444,44.27064167
1717,MBS,K5,-84.0773,43.53165278
1718,MFD,K5,-82.59096111,40.86861111
1719,MIE,K5,-85.39403611,40.23729167
1720,MKG,K5,-86.03937778,43.16925278
1721,MNM,K5,-87.647175,45.18016111
1722,MOP,K5,-84.73726667,43.622825
1723,MSN,K5,-89.33969722,43.14483611
1724,MTC,K5,-82.83177222,42.61288889
1725,MTO,K5,-88.28606944,39.47800278
1726,MTW,K5,-87.67991944,44.1285
1727,MWA,K5,-89.01166667,37.75425278
1728,MXQ,K5,-83.80123889,39.42969444
1729,MYS,K5,-86.24452778,37.89406667
1730,MZV,K5,-90.63821389,41.32092222
1731,MZZ,K5,-85.67925,40.49333056
1732,OBK,K5,-87.95161944,42.22137778
1733,OKK,K5,-86.058,40.52778056
1734,OLK,K5,-85.49739722,41.24690833
1735,OOM,K5,-86.61301944,39.14382222
1736,ORD,K5,-87.90481944,41.98768889
1737,OSH,K5,-88.55593333,43.99043333
1738,OWB,K5,-87.16593611,37.74355556
1739,OXI,K5,-86.64929167,41.32204167
1740,PIA,K5,-89.79275278,40.68006944
1741,PLL,K5,-89.52421944,41.96564167
1742,PLN,K5,-84.66410833,45.63064722
1743,PMM,K5,-86.10481111,42.46603611
1744,PNT,K5,-88.73350833,40.8212
1745,PSI,K5,-83.53277222,42.70085833
1746,PXV,K5,-87.76238056,37.92831944
1747,RBS,K5,-88.16426667,40.58170278
1748,RFD,K5,-89.19927222,42.22557778
1749,RHI,K5,-89.45778889,45.633775
1750,RID,K5,-84.83882778,39.75500833
1751,ROD,K5,-84.04309722,40.2878
1752,RZN,K5,-92.37451667,45.82044444
1753,SAM,K5,-88.08581389,38.48518889
1754,SAW,K5,-87.397425,46.35892222
1755,SGH,K5,-83.84496111,39.83653611
1756,SHB,K5,-85.82431667,39.63254167
1757,SKE,K5,-89.85164722,38.54536111
1758,SKY,K5,-82.65481944,41.43446667
1759,SPI,K5,-89.67773611,39.83973333
1760,SSM,K5,-84.31487222,46.41211111
1761,SVM,K5,-83.59390278,42.40863611
1762,TOL,K5,-83.79936389,41.59370556
1763,TOY,K5,-89.91859167,38.73915
1764,TTH,K5,-87.24901389,39.48894167
1765,TVC,K5,-85.55001111,44.66791667
1766,TVT,K5,-82.12681111,40.45806667
1767,UIN,K5,-91.278925,39.847875
1768,VHP,K5,-86.3675,39.81472778
1769,VIO,K5,-85.49706944,42.78671667
1770,VLA,K5,-89.16224444,39.09383889
1771,VNN,K5,-88.80733611,38.36195278
1772,VOK,K5,-90.25904722,43.94283333
1773,VWV,K5,-83.63869444,41.45148611
1774,XSF,K5,-83.840625,39.83813056
1775,XUB,K5,-82.97794167,39.52688333
1776,YNG,K5,-80.67466389,41.331025
1777,YRK,K5,-82.97833889,38.64413333
1778,ZZV,K5,-81.8926,39.94086111
1779,ACK,K6,-70.02671111,41.28188611
1780,ACY,K6,-74.57631389,39.455875
1781,ADW,K6,-76.86625556,38.80721944
1782,AGC,K6,-80.04085556,40.27864444
1783,ALB,K6,-73.80318611,42.74728056
1784,AML,K6,-77.46670278,38.93459444
1785,AOO,K6,-78.30370556,40.32544444
1786,ARD,K6,-74.90761111,40.25334167
1787,ART,K6,-76.06462778,43.95213056
1788,ATR,K6,-75.21132222,38.80981111
1789,AUG,K6,-69.79656389,44.32001944
1790,BAF,K6,-72.7162,42.16195833
1791,BAL,K6,-76.66125556,39.17106389
1792,BDR,K6,-73.12449722,41.16069444
1793,BFD,K6,-78.61934722,41.78638611
1794,BGR,K6,-68.87396667,44.84179444
1795,BKW,K6,-81.12345556,37.7803
1796,BLF,K6,-81.19426944,37.30644167
1797,BML,K6,-71.186125,44.63340556
1798,BOS,K6,-70.98954722,42.35745
1799,BRV,K6,-77.35286667,38.33625833
1800,BTV,K6,-73.18263611,44.39710556
1801,BUF,K6,-78.64634167,42.92899722
1802,BWZ,K6,-74.82183333,40.79843333
1803,CAM,K6,-73.34401944,42.99428889
1804,CCC,K6,-72.79885833,40.92961667
1805,CCV,K6,-75.99765278,37.34753889
1806,CEF,K6,-72.52631389,42.19754444
1807,CFB,K6,-76.13647222,42.15748611
1808,CIP,K6,-79.457975,41.14629444
1809,CKB,K6,-80.26786111,39.25321667
1810,CMK,K6,-73.581325,41.28008889
1811,COL,K6,-74.15972778,40.31163333
1812,CON,K6,-71.57545278,43.21978611
1813,CRI,K6,-73.89444444,40.61247222
1814,CSN,K6,-77.8655,38.64120278
1815,CTR,K6,-72.94939444,42.29131944
1816,CYN,K6,-74.431625,39.81733889
1817,DAN,K6,-79.33665833,36.56888056
1818,DCA,K6,-77.03643611,38.85945278
1819,DKK,K6,-79.27409722,42.49056667
1820,DNY,K6,-74.95694167,42.17828056
1821,DOV,K6,-75.46740833,39.1324
1822,DPK,K6,-73.30365833,40.79175
1823,DQO,K6,-75.60708056,39.67813889
1824,EEN,K6,-72.29177778,42.79427778
1825,EKN,K6,-80.09927222,38.91443611
1826,ELZ,K6,-77.99955833,42.08964722
1827,EMI,K6,-76.97857222,39.49500833
1828,ENE,K6,-70.613525,43.42567222
1829,ENO,K6,-75.51596944,39.23164722
1830,ERI,K6,-80.29269722,42.01739722
1831,ESL,K6,-78.9895,39.22549167
1832,ETG,K6,-78.14275556,41.21495
